sku,name,description,brand,category,color,size,material,price,image_url_1,image_url_2,image_url_3
NAYASI-6A22E552,Beige Silk Blend Embroidered Festive Wear Kurta Set for Women,"Designer kurta set is available in silk blend material with embroidery work. Along with pant and dupatta to finish the look. Perfect for wedding, festive, party occasions. Complete your look with the ethereal dupatta for a sophisticated finish that will turn heads wherever you go. Pair with minimal jewelry for a casual look, Opt for natural makeup and a small bindi for a graceful finish",KurtaWorld,Kurta Set,Beige,"L, XXL, XL, S, M",Silk Blend,1459.0,https://m.media-amazon.com/images/X/bxt1/M/Cbxt1xO9ODIZKSB.jpg,https://m.media-amazon.com/images/X/bxt1/M/8bxt1BusYJp-3xr.jpg,https://m.media-amazon.com/images/X/bxt1/M/7bxt1xqKKJy-MZw.jpg
NAYASI-80230F58,Beige Silk Blend Embroidered Kurta Set for Women,Kurta design: Ethnic motifs embroidered Straight shape Regular style three-quarter regular sleeves Thread work detail Calf length length with straight hem Silk blend,KurtaWorld,Kurta Set,Beige,"XL, L, XXL, S, M",Silk Blend,1649.0,https://m.media-amazon.com/images/X/bxt1/M/dbxt1Bf7gBpgZ-P.jpg,https://m.media-amazon.com/images/X/bxt1/M/wbxt1hPXOYxeM3u.jpg,https://m.media-amazon.com/images/X/bxt1/M/Lbxt1xzRbodw8Ur.jpg
NAYASI-B013B080,Beige Silk Blend Embroidered Kurta Set for Women,Kurta design: Ethnic motifs embroidered Straight shape Regular style three-quarter regular sleeves Thread work detail Calf length length with straight hem Silk blend,KurtaWorld,Kurta Set,Beige,"XXL, L, XL, M, S",Silk Blend,1649.0,https://m.media-amazon.com/images/X/bxt1/M/Tbxt1BWpHTE7c7e.jpg,https://m.media-amazon.com/images/X/bxt1/M/Cbxt1Bt3nSCsZ6C.jpg,https://m.media-amazon.com/images/X/bxt1/M/7bxt1hk42UR7Bcc.jpg
NAYASI-B6254AA1,Beige Silk Blend Embroidered Kurta Set for Women,Kurta design: Ethnic motifs embroidered Straight shape Regular style three-quarter regular sleeves Thread work detail Calf length length with straight hem Silk blend,KurtaWorld,Kurta Set,Beige,"XL, L, M, XXL, S",Silk Blend,1649.0,https://m.media-amazon.com/images/X/bxt1/M/0bxt1x4RHokqqIO.jpg,https://m.media-amazon.com/images/X/bxt1/M/mbxt1xtQTK7vG88.jpg,https://m.media-amazon.com/images/X/bxt1/M/ibxt1xKh6vaSLnI.jpg
NAYASI-F1129E89,Beige Silk Blend Embroidered Kurta Set for Women,Kurta design: Ethnic motifs embroidered Straight shape Regular style three-quarter regular sleeves Thread work detail Calf length length with straight hem Silk blend,KurtaWorld,Kurta Set,Beige,"L, XXL, XL, S, M",Silk Blend,1649.0,https://m.media-amazon.com/images/X/bxt1/M/Hbxt1h0g0xbMGG3.jpg,https://m.media-amazon.com/images/X/bxt1/M/tbxt1RyCvf1rvQQ.jpg,https://m.media-amazon.com/images/X/bxt1/M/mbxt1Ri9NBipccS.jpg
NAYASI-185FF6B1,Black & White Cotton Blend Embroidered Printed Kurta Set,"Elevate your wardrobe with our Embroidered & Printed Kurta Pant set, beautifully complemented by a delicate organza Dupatta. This stunning ensemble features intricate embroidery that adds a touch of elegance, making it perfect for both casual outings and festive occasions. The lightweight cotton blend fabric ensures comfort while the stylish kurta and pant combination offers a flattering silhouette. Complete your look with the ethereal dupatta for a sophisticated finish that will turn heads wherever you go.",KurtaWorld,Kurta Set,Black & White,"XXL, S, M, L, XL",Cotton Blend,909.0,https://m.media-amazon.com/images/X/bxt1/M/1bxt1BN7WRZtI8m.jpg,https://m.media-amazon.com/images/X/bxt1/M/4bxt1hHof1GmJIY.jpg,https://m.media-amazon.com/images/X/bxt1/M/fbxt1xbNJVfa-d8.jpg
NAYASI-6219B036,Bottle Green Chanderi Silk Embroidered Wedding Wear Kurta Set,"Elevate your wardrobe with our Embroidered Kurta Pant set, beautifully complemented by a delicate organza Dupatta. This stunning ensemble features intricate embroidery that adds a touch of elegance, making it perfect for both casual outings and festive occasions. The lightweight Chanderi viscose fabric ensures comfort while the stylish kurta and pant combination offers a flattering silhouette. Complete your look with the ethereal dupatta for a sophisticated finish that will turn heads wherever you go.",KurtaWorld,Kurta Set,Bottle Green,"S, L, XXL, M, XL",Chanderi Silk,1359.0,https://m.media-amazon.com/images/X/bxt1/M/Zbxt1xAwvKOoE4O.jpg,https://m.media-amazon.com/images/X/bxt1/M/Zbxt1xiXQE2cGsv.jpg,https://m.media-amazon.com/images/X/bxt1/M/vbxt1Bs2o7ub029.jpg
NAYASI-BACEC212,Cherry Wine Plain PV Chanderi Office wear Kurta Pant Set,"Solid Kurta set is available in pv chanderi material with solid plain work. Along with matching pant. Wear this outfit at office, formal wear, casual outing.",KurtaWorld,Kurta Pant Set,Cherry Wine,"L, M, XXL, S, XL",PV Chanderi,699.0,https://m.media-amazon.com/images/X/bxt1/M/5bxt1RKvcfvRKVd.jpg,https://m.media-amazon.com/images/X/bxt1/M/Obxt1Rg9agI9Fux.jpg,https://m.media-amazon.com/images/X/bxt1/M/Kbxt1RHGqRQYwtD.jpg
NAYASI-D81941C8,Cherry Wine Silk Blend Embroidered Festive Wear Kurta Set for Women,"Designer kurta set is available in silk blend material with embroidery work. Along with pant and dupatta to finish the look. Perfect for wedding, festive, party occasions. Complete your look with the ethereal dupatta for a sophisticated finish that will turn heads wherever you go. Pair with minimal jewelry for a casual look, Opt for natural makeup and a small bindi for a graceful finish",KurtaWorld,Kurta Set,Cherry Wine,"XL, L, M, S, XXL",Silk Blend,1459.0,https://m.media-amazon.com/images/X/bxt1/M/Pbxt1Bj8rkfYCWo.jpg,https://m.media-amazon.com/images/X/bxt1/M/Nbxt1hzfyOW78hr.jpg,https://m.media-amazon.com/images/X/bxt1/M/Jbxt1RD4HrK1Oks.jpg
NAYASI-BF425B15,Coffee Brown Plain PV Chanderi Office wear Kurta Pant Set,"Solid Kurta set is available in pv chanderi material with solid plain work. Along with matching pant. Wear this outfit at office, formal wear, casual outing.",KurtaWorld,Kurta Pant Set,Coffee Brown,"L, M, XL, XXL, S",PV Chanderi,699.0,https://m.media-amazon.com/images/X/bxt1/M/Ebxt1xPva62iUeX.jpg,https://m.media-amazon.com/images/X/bxt1/M/Sbxt1BGAoxH3XaG.jpg,https://m.media-amazon.com/images/X/bxt1/M/Zbxt1xPmrxMqZB6.jpg
